Station,Year,Month,Day,MeanTemp,NTempObs,DewPoint,NDewPointObs,SeaLevelPressure,NSeaLevPressObs,StationPressure,NStatPressObs,Visibility,NVisibilityObs,MeanWindSpeed,NWindObs,MaxSustWindSpeed,MaxWindGust,MaxTemp,MaxTempSource,MinTemp,MinTempSource,PrecipAmount,NPrecipReportHours,PrecipFlag,SnowDepth,Fog,Rain,Snow,Hail,Thunder,Tornado
philadelphia-intl,2006,1,15,31.1,24,11.9,24,1001.2,22,1002.2,17,8.3,24,22.8,24,32.6,41.6,39,hourly,26.1,hourly,0.13,24,G,NULL,0,0,1,0,0,0
philadelphia-intl,2006,1,16,25.7,24,1.4,24,1014,24,1013,24,10,24,8.7,24,15.9,27.8,34,explicit,19.9,explicit,0.02,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,1,17,32,24,14.6,24,1018.6,24,1017.5,24,10,24,4.5,24,12.8,NULL,43,explicit,19.9,explicit,0,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,1,18,51,24,43.1,24,1007.4,18,1007.8,17,8.8,24,17.9,24,33.6,42.5,63,hourly,37.9,hourly,0.13,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,1,19,38.3,24,21.9,24,1023.5,24,1022.5,24,10,24,10.7,24,18.1,21.8,64,explicit,33.1,explicit,0.62,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,1,20,44.4,24,30.7,24,1023.1,24,1022,24,10,24,6.8,24,10.9,NULL,57,explicit,33.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,1,21,47.7,24,36.8,24,1018.7,24,1017.6,24,10,24,6.2,24,25.8,29.7,61,explicit,36,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,1,22,39.4,24,20.1,24,1034.8,24,1033.8,24,10,24,7.4,24,26,NULL,61,explicit,30.9,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,1,23,39.2,24,33.6,24,1022.6,24,1021.3,13,8.1,24,7.4,24,11.8,NULL,46,explicit,31.1,explicit,0.97,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,1,24,39.4,24,29.1,24,1013.5,24,1012,23,9.3,24,5.9,24,9.9,NULL,46.9,explicit,32,explicit,0.1,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,1,25,37.9,24,27.4,24,1005.8,24,1005.1,24,10,24,12.9,24,23.7,31.7,46.9,explicit,32,explicit,0.09,24,G,NULL,1,0,0,0,0,0
philadelphia-intl,2006,1,26,33.2,24,14.1,24,1019.4,24,1018.4,24,10,24,16.2,24,21.8,29.7,41,explicit,28.9,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,1,27,31.5,24,7.8,24,1033.8,24,1032.8,24,10,24,7.7,24,11.8,15.9,44.1,explicit,23,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,1,28,40.3,24,20.4,24,1027.5,24,1026.6,24,10,24,8.4,24,13.8,NULL,59,explicit,23,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,1,29,43.5,24,33.2,24,1016,24,1015.4,22,9.4,24,5,24,13.8,NULL,59,explicit,30,explicit,0,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,1,30,47.8,24,43.4,24,1007.8,24,1006,15,5.9,24,3.6,24,11.8,NULL,62.1,explicit,33.1,explicit,0.13,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,1,31,44.9,24,39.9,24,1004.6,24,1004,20,9,24,10.6,24,16.9,19.8,62.1,explicit,37,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,2,1,40.5,24,24.1,24,1014,24,1012.9,24,10,24,10.1,24,14,19.8,46,explicit,39,explicit,0.01,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,2,2,40.5,24,30.1,24,1015.3,24,1014,21,9,24,3.5,24,9.9,NULL,55,explicit,30.9,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,2,3,53.1,24,44.1,24,1007.6,22,1006.2,20,9.3,24,11.8,24,22,25.8,62.1,explicit,31.1,explicit,0.22,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,2,4,47.7,24,39.9,24,1010.4,19,1010.1,17,8.3,24,7,24,15.9,NULL,55.9,hourly,43,hourly,0.11,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,2,5,46.3,24,34.9,24,997.2,23,996.1,22,9.3,24,14.3,24,21.8,24.9,60.1,explicit,37.9,explicit,0.25,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,2,6,37.2,24,16.4,24,1008.5,24,1007.5,24,10,24,19.7,24,25.8,30.7,55,explicit,32,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,2,7,35.8,24,14,24,1014,24,1013,24,10,24,12,24,16.9,19.8,42.1,explicit,28.9,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,2,8,32.6,24,13.4,24,1017.5,24,1016.5,24,10,24,8.4,24,11.8,NULL,39.9,explicit,26.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,2,9,30.4,24,11.5,24,1017.8,24,1016.8,24,10,24,9.1,24,16.9,NULL,36,explicit,24.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,2,10,32.1,24,10.2,24,1020.9,24,1019.9,24,10,24,10.2,24,13.8,NULL,37.9,explicit,24.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,2,11,34.6,24,21,24,1018.3,23,1018.3,19,8.7,24,4.8,24,15,NULL,39.2,hourly,32,hourly,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,2,12,28.7,24,24.3,24,1004.9,17,1005.7,5,2.6,24,16.2,24,26.8,NULL,39,explicit,23,explicit,0.44,24,G,NULL,0,0,1,0,0,0
philadelphia-intl,2006,2,13,26.8,24,14.5,24,1013,24,1012.1,24,10,24,9.9,24,15.9,NULL,35.1,explicit,17.1,explicit,0.23,24,G,5.1,0,0,0,0,0,0
philadelphia-intl,2006,2,14,32.3,24,19.1,24,1018.1,24,1017.1,24,10,24,9.4,24,13.8,NULL,41,explicit,17.1,explicit,0,24,G,9.8,0,0,0,0,0,0
philadelphia-intl,2006,2,15,38.5,24,26.6,24,1022.7,24,1021.7,24,9.7,24,4.3,24,8,NULL,52,explicit,25.2,explicit,0,24,G,7.1,0,0,0,0,0,0
philadelphia-intl,2006,2,16,44.5,24,31.8,24,1024.3,24,1023.3,24,9.6,24,3.6,24,8.9,NULL,61,explicit,27.1,explicit,0,24,G,3.9,0,0,0,0,0,0
philadelphia-intl,2006,2,17,53,24,35.4,24,1016.5,24,1016.1,23,10,24,15.6,24,30.7,36.7,61,explicit,31.1,explicit,0,24,G,1.2,0,0,0,0,0,0
philadelphia-intl,2006,2,18,34.1,24,12.3,24,1023,24,1022.1,24,10,24,13.6,24,20.8,29.7,42.1,hourly,23,hourly,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,2,19,20.5,24,-4.2,24,1029.5,24,1028.5,24,10,24,11.2,24,16.9,21.8,37,explicit,15.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,2,20,29,24,1.5,24,1023.1,24,1022.1,24,10,24,8.3,24,12,15,37.9,explicit,15.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,2,21,34,24,16.2,24,1016.3,24,1015.3,24,10,24,7.2,24,18.1,21.8,44.1,explicit,25,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,2,22,34.6,24,24.4,24,1018.3,24,1017.5,17,9.4,24,4.5,24,13.8,NULL,44.1,explicit,25,explicit,0,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,2,23,38.2,24,34.6,24,1013.4,24,1011.7,5,3.9,24,4.4,24,24.9,NULL,46,explicit,28.2,explicit,0,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,2,24,37.6,24,16.1,24,1017.6,24,1016.6,24,10,24,15.2,24,25.8,31.7,46,explicit,34,explicit,0.03,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,2,25,36.3,24,10.5,24,1021.9,24,1020.9,24,10,24,9.6,24,18.8,25.8,53.1,explicit,25,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,2,26,31.3,24,5.5,24,1019.8,24,1018.8,24,10,24,18,24,24.9,33.6,53.1,explicit,23,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,2,27,24.5,24,1.6,24,1019.8,24,1018.8,24,10,24,10.6,24,21.4,21.8,34,explicit,18,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,2,28,29.7,24,9,24,1013.6,24,1012.6,24,10,24,9.1,24,17.9,22.7,36,explicit,18,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,1,36.3,24,6.7,24,1012.7,24,1011.7,24,10,24,9.2,24,15,27.8,46,explicit,24.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,2,34.3,24,24.4,24,1007,24,1008,17,7.9,24,4.5,24,10.9,NULL,46,explicit,28,explicit,0.01,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,3,3,31.9,24,19.3,24,1012,24,1011.9,22,9.5,24,13.7,24,22.7,31.7,37.9,explicit,27,explicit,0.18,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,4,33.5,24,11.5,24,1016.4,24,1015.4,24,10,24,15.7,24,20.8,28.7,44.1,explicit,27,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,5,39.7,24,14,24,1019.9,24,1018.9,24,10,24,11.6,24,16.9,23.7,50,explicit,27.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,6,39.3,24,11.8,24,1017.3,24,1016.3,24,10,24,6.5,24,10.9,13.8,50,explicit,28,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,7,37.7,24,14.5,24,1019.2,24,1018.2,24,10,24,8.2,24,12.8,20.8,46,explicit,30,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,8,38.2,24,12,24,1021.2,24,1020.2,24,10,24,6.4,24,12,15.9,50,explicit,28.9,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,9,48.6,24,31,24,1014.1,24,1013,24,10,24,5.6,24,12.8,16.9,62.1,explicit,29.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,10,63,24,44.7,24,1006.4,24,1005.4,24,10,24,14.7,24,25.8,34.8,75.9,explicit,41,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,11,58.7,24,38.5,24,1020.2,24,1019.2,24,10,24,5.9,24,13,16.9,75.9,explicit,44.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,12,51.7,24,44.5,24,1021.8,24,1022.9,12,6.9,24,3.3,24,15.9,NULL,66.9,explicit,44.1,explicit,0.01,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,13,58.9,24,51.8,24,1012.4,24,1006,10,5.5,24,4.3,24,13,18.8,79,explicit,46,explicit,0.47,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,14,61.6,24,40.9,24,1000.6,24,1000.1,21,9.9,24,14.9,24,26,34.8,79,explicit,46,explicit,0.01,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,15,41.9,24,18.2,24,1009.9,24,1009,24,9.7,24,18.6,24,25.8,35.7,46.9,hourly,37,hourly,0.01,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,16,42.9,24,11.5,24,1016.4,24,1015.4,24,10,24,13.2,24,23.7,31.7,53.1,explicit,34,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,17,43.5,24,14.5,24,1016.9,24,1015.9,24,10,24,9.6,24,15,18.8,53.1,explicit,34,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,18,37.5,24,6.7,24,1017.2,24,1016.2,24,10,24,13.2,24,19.8,22.7,48.9,explicit,30.9,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,19,36.9,24,10.6,24,1016.4,24,1015.4,24,10,24,13.3,24,21.8,27.8,46,explicit,28,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,20,38.1,24,15.2,24,1017.7,24,1016.7,24,10,24,10.8,24,16.9,20.8,46,explicit,28.2,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,21,32.8,24,9.8,24,1014.7,24,1013.7,24,10,24,8.3,24,15.9,20.8,44.1,explicit,25,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,22,38.4,24,13.8,24,1011.2,24,1010.2,24,10,24,12.4,24,19,30.7,46,explicit,25.2,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,23,42.7,24,21,24,1020.1,24,1019.1,24,10,24,10.3,24,15,18.8,52,explicit,31.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,24,44,24,22.9,24,1018.6,24,1017.6,24,10,24,6.3,24,10.9,NULL,52,explicit,36,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,25,43.5,24,32,24,1014.3,24,1013.5,18,10,24,7.7,24,12,NULL,52,explicit,36,explicit,0,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,3,26,42,24,32.9,24,1015.1,24,1014.4,16,9.5,24,10.3,24,18.8,20.8,51.1,explicit,36,explicit,0.23,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,3,27,47.4,24,21.9,24,1021,24,1020,24,10,24,9.4,24,15,16.9,57.9,explicit,36,explicit,0.17,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,28,48.9,24,24.7,24,1022.8,24,1021.8,24,10,24,4.5,24,8.9,NULL,57.9,explicit,37.9,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,29,50,24,29.5,24,1023,24,1022,24,10,24,5.5,24,9.9,NULL,63,explicit,37.9,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,30,52.5,24,34.5,24,1025.9,24,1024.5,21,9,24,5.6,24,9.9,16.9,68,explicit,37.9,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,3,31,56.6,24,36.4,24,1023.5,24,1022.5,24,10,24,7.7,24,13.8,18.8,75,hourly,44.6,hourly,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,1,64.3,23,47.3,23,1011.9,22,1010.7,20,9.9,23,12.7,23,25.8,30.7,75,explicit,46.9,explicit,0.01,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,4,2,57.8,24,34.1,24,1015.4,24,1014.4,24,10,24,9.2,24,16.9,18.8,73,explicit,48.9,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,3,51.6,24,36.9,24,1012.9,24,1012.1,22,10,24,4.9,24,11.8,NULL,66.9,explicit,44.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,4,50.9,24,32.1,24,1005.5,24,1004.9,21,9.5,24,14.9,24,23.9,31.7,57,explicit,44.1,explicit,0.32,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,5,44.9,24,25.7,24,1007.8,23,1006.8,22,9.5,24,11.7,24,25.8,29.7,52,hourly,33.8,hourly,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,6,47.1,24,26.5,24,1012.6,24,1011.5,24,10,24,10.2,24,14,15.9,55.9,explicit,37.9,explicit,0.01,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,7,52.2,24,40.7,24,1008.6,23,1007.6,22,9.7,24,6.5,24,15,20.8,66.9,explicit,42.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,8,52,24,45.5,24,1005.6,20,1004,10,8.2,24,9.7,24,20.8,NULL,66.9,explicit,39,explicit,0.07,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,4,9,44,24,23.1,24,1018.2,24,1017.2,24,10,24,9.3,24,12.8,17.9,63,explicit,34,explicit,0.8,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,10,51,24,23.7,24,1023.8,24,1022.8,24,10,24,5.6,24,9.9,NULL,63,explicit,34,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,11,54.7,24,34.6,24,1027,24,1026,24,10,24,5.6,24,12.8,16.9,73.9,explicit,39.9,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,12,57.1,24,39.1,24,1027.2,24,1026.2,24,10,24,7.8,24,13.8,18.8,73.9,explicit,41,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,13,64.2,24,45.7,24,1019,24,1017.9,24,10,24,10.4,24,23.7,NULL,82,explicit,45,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,14,60.1,24,49,24,1012.1,24,1011.3,22,10,24,2.5,24,8.9,NULL,66.9,hourly,53.1,hourly,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,15,66.3,24,53.7,24,1001.1,24,999.8,23,9.5,24,8.1,24,18.8,23.7,80.1,explicit,52,explicit,0,24,G,NULL,0,1,0,0,1,0
philadelphia-intl,2006,4,16,63,24,36.8,24,1005.4,24,1004.4,24,9.9,24,9.5,24,13.8,16.9,80.1,explicit,53.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,17,57.7,24,29.7,24,1007.9,24,1006.8,24,10,24,8.6,24,15,18.8,69.1,explicit,46.9,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,18,57.5,24,36.6,24,1011.7,24,1010.7,24,10,24,8.7,24,15.9,17.9,73,explicit,46.9,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,19,65.6,24,36.2,24,1010.4,24,1009.4,24,10,24,9.8,24,15.9,24.9,78.1,explicit,48,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,20,69.9,24,30.3,24,1011.4,24,1010.3,24,10,24,8.7,24,15,20.8,82.9,explicit,53.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,21,59.2,24,42.3,24,1019,24,1018,24,10,24,10.7,24,19.8,23.7,82.9,explicit,51.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,22,49.3,24,45.4,24,1021.2,22,NULL,0,6.2,24,13.7,24,19.8,NULL,64.9,explicit,45,explicit,0.4,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,4,23,57.9,24,53.7,24,1011.9,22,1010.7,10,6.5,24,7.1,24,12.8,NULL,66.9,explicit,45,explicit,1.75,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,4,24,59.2,24,49.8,24,1010,22,1008.9,19,9,24,6.5,24,15,19.8,68,explicit,53.1,explicit,0.2,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,4,25,61.6,24,43.8,24,1009.4,24,1008.4,24,10,24,6.4,24,12.8,18.8,73.9,explicit,48,explicit,0.09,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,26,51.5,24,30.6,24,1013.3,24,1012.5,22,10,24,9.2,24,19.8,27.8,73.9,explicit,41,explicit,0.07,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,27,56.9,24,35.7,24,1011.4,24,1010.4,24,10,24,5.3,24,11.8,16.9,72,explicit,41,explicit,0.02,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,28,58.5,24,28.4,24,1019.1,24,1018.1,24,10,24,10.7,24,17.9,21.8,72,explicit,43,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,29,54.2,24,30.3,24,1028.5,24,1027.5,24,10,24,6.9,24,13.8,17.9,64,explicit,43,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,4,30,55.3,24,28.6,24,1029.5,24,1028.5,24,10,24,6.6,24,11.8,19.8,68,explicit,42.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,5,1,58.2,24,28.4,24,1026.1,24,1025.1,24,10,24,10.1,24,16.9,24.9,69.1,explicit,48,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,5,2,57.9,24,34.9,24,1017.8,24,1016.7,24,10,24,4.6,24,11.8,16.9,72,explicit,46,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,5,3,60.2,24,41.9,24,1011.1,24,1010,24,10,24,7.7,24,17.9,22.7,75.9,explicit,46,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,5,4,67.5,24,43.1,24,1011.2,24,1010.1,24,10,24,7.7,24,15.9,NULL,82,explicit,48,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,5,5,71.1,24,47.8,24,1007.8,24,1006.8,24,10,24,7,24,11.8,NULL,82,explicit,55,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,5,6,68.1,24,46.4,24,1007.2,24,1006.2,24,10,24,6.7,24,17.9,23.7,81,explicit,57.9,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,5,7,58.1,24,30.8,24,1017.8,24,1016.8,24,10,24,8.6,24,15.9,19.8,80.1,explicit,48,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,5,8,56.6,24,34.5,24,1019.6,24,1018.5,23,10,24,8,24,15,18.8,69.1,explicit,48,explicit,0,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,5,9,59.5,24,30.1,24,1016.4,24,1015.4,24,10,24,8.3,24,15,19.8,71.1,explicit,52,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,5,10,64.1,24,41.4,24,1011.9,24,1010.8,24,10,24,5.7,24,11.8,NULL,77,explicit,51.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,5,11,61.7,24,51.7,24,1009.3,24,1008.6,24,9.9,24,10.9,24,17.9,23.7,77,explicit,51.1,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,5,12,64,24,52.4,24,1004.5,23,1004.1,19,9.2,24,8.1,24,15.9,NULL,73,explicit,54,explicit,0.66,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,5,13,62.7,24,52,24,1009.5,22,1007.9,16,8.7,24,5.6,24,11.8,NULL,73,explicit,54,explicit,0.01,24,G,NULL,0,1,0,0,1,0
philadelphia-intl,2006,5,14,59.5,24,50.4,24,1014.3,23,1013.3,24,10,24,9.1,24,15,19.8,72,explicit,53.1,explicit,0.33,24,G,NULL,0,1,0,0,1,0
philadelphia-intl,2006,5,15,57.3,24,50,24,1012,19,1011.3,19,9.4,24,8.5,24,16.9,21.8,68,explicit,51.1,explicit,0.52,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,5,16,59.5,24,50.2,24,1005.9,22,1004.9,20,8.7,24,7.9,24,15.9,19.8,68,explicit,51.1,explicit,0.27,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,5,17,62,24,47.3,24,1003.4,24,1002.3,24,10,24,9.8,24,15,NULL,71.1,explicit,52,explicit,0.26,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,5,18,63.9,24,50.8,24,999.3,24,998.3,24,9.7,24,8.4,24,15.9,19.8,75,explicit,52,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,5,19,59.9,24,46.7,24,1001.3,23,1000.3,22,10,24,8.7,24,20.8,27.8,75,explicit,54,explicit,0.34,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,5,20,61,24,41.6,24,1005.2,24,1004.1,24,10,24,13.3,24,19,28.7,70,hourly,53.1,hourly,0.01,24,G,NULL,0,1,0,0,0,0
philadelphia-intl,2006,5,21,61.8,24,37.9,24,1006.7,24,1005.7,24,10,24,12.2,24,22.7,30.7,73,explicit,48,explicit,0,24,G,NULL,0,0,0,0,0,0
philadelphia-intl,2006,5,22,57.5,24,33.1,24,1011.7,24,1010.6,24,10,24,13.5,24,18.8,26.8,64.9,explicit,50,explicit,0,24,G,NULL,0,0,0,0,0,0
